Episode,Time,Character,Type of Roll,Total Value,Natural Value,Crit?,Damage,# Kills,Notes
C1E038,0:23:40,Vex'ahlia,Deception,23,16,,,,With advantage
C1E038,0:35:59,Percy,Investigation,8,5,,,,
C1E038,0:36:48,Scanlan,Investigation,18,12,,,,
C1E038,0:41:58,Percy,Perception,20,13,,,,
C1E038,0:54:23,Keyleth,Constitution Save,8,6,,,,
C1E038,0:54:26,Grog,Constitution Save,20,11,,,,
C1E038,0:54:30,Percy,Constitution Save,20,14,,,,
C1E038,0:54:36,Pike,Constitution Save,18,17,,,,
C1E038,0:57:48,Keyleth,Constitution Save,18,16,,,,
C1E038,1:23:40,Scanlan,Wisdom,16,18,,,,
C1E038,1:26:41,Scanlan,Persuasion,Unknown,Unknown,,,,Disregarded due to advantage
C1E038,1:26:41,Scanlan,Persuasion,32,19,,,,With advantage
C1E038,1:46:06,Scanlan,Insight,3,5,,,,
C1E038,1:52:39,Pike,Insight,19,Unknown,,,,
C1E038,2:01:27,Vax'ildan,Perception,23,13,,,,
C1E038,2:01:28,Vex'ahlia,Perception,Nat1,1,Y,,,
C1E038,2:01:29,Grog,Perception,5,5,,,,
C1E038,2:01:30,Percy,Perception,16,9,,,,
C1E038,2:05:16,Grog,Acrobatics,15,13,,,,
C1E038,2:08:22,Pike,Thieves' Tools,16,6,,,,With Inspiration (Nat6+Dex1+Insp 9)
C1E038,2:11:47,Trinket,Perception,Unknown,Unknown,,,,Disregarded due to advantage
C1E038,2:11:47,Trinket,Perception,16,13,,,,With advantage
C1E038,2:16:06,Vex'ahlia,Dexterity Save,Nat20,20,Y,,,
C1E038,2:16:09,Percy,Dexterity Save,24,18,,,,
C1E038,2:16:10,Scanlan,Dexterity Save,12,8,,16 Force to Scanlan,,
C1E038,2:17:47,Scanlan,Dexterity,Nat20,20,Y,,,
C1E038,2:18:53,Percy,Investigation,Nat20,20,Y,,,
C1E038,2:18:54,Scanlan,Investigation,28,22,,,,"Either we have his Investigation wrong, 
or he used his Intelligence mod"
C1E038,2:18:57,Vex'ahlia,Investigation,14,12,,,,
C1E038,2:19:44,Keyleth,Investigation,14,12,,,,
C1E038,2:19:46,Vax'ildan,Investigation,11,8,,,,
C1E038,2:19:48,Grog,Investigation,11,13,,,,
C1E038,2:19:51,Pike,Investigation,13,12,,,,
C1E038,2:22:28,Keyleth,Arcana,14,12,,,,
C1E038,2:23:14,Pike,Religion,20,15,,,,
C1E038,2:25:46,Scanlan,History,22,18,,,,
C1E038,2:25:47,Percy,History,26,19,,,,
C1E038,2:25:49,Keyleth,History,20,18,,,,
C1E038,2:25:53,Vex'ahlia,History,21,19,,,,
C1E038,2:25:55,Vax'ildan,History,18,15,,,,
C1E038,2:25:55,Grog,History,Nat1,1,Y,,,
C1E038,2:25:58,Pike,History,Unknown,Unknown,,,,
C1E038,2:28:18,Vax'ildan,Perception,20,10,,,,
C1E038,2:30:55,Percy,Perception,Nat20,20,Y,,,
C1E038,2:32:04,Keyleth,Nature,17,11,,,,
C1E038,2:39:54,Vax'ildan,Perception,20,10,,,,
C1E038,2:39:57,Vex'ahlia,Perception,Nat1,1,Y,,,
C1E038,2:40:59,Grog,Perception,Unknown,Unknown,,,,
C1E038,2:41:00,Vax'ildan,Wisdom,Unknown,Unknown,,,,Disregarded due to Luck
C1E038,2:41:00,Vax'ildan,Wisdom,20,18,,,,With Luck
C1E038,2:41:53,Vex'ahlia,Survival,Nat1,1,Y,,,
C1E038,2:42:21,Grog,Perception,Unknown,Unknown,,,,Disregarded due to advantage
C1E038,2:42:21,Grog,Perception,11,11,,,,With advantage
C1E038,2:46:29,Vax'ildan,Perception,23,13,,,,
C1E038,2:46:34,Grog,Perception,18,18,,,,
C1E038,2:46:35,Vex'ahlia,Perception,17,9,,,,
C1E038,2:46:37,Scanlan,Perception,20,22,,,,
C1E038,2:46:41,Percy,Perception,9,2,,,,
C1E038,2:46:43,Keyleth,Perception,Nat20,20,Y,,,
C1E038,2:46:43,Pike,Perception,Unknown,Unknown,,,,
C1E038,2:47:50,Keyleth,Nature,20,14,,,,
C1E038,2:48:53,Percy,Perception,13,6,,,,
C1E038,2:50:46,Vex'ahlia,Arcana,Unknown,Unknown,,,,Disregarded due to advantage
C1E038,2:50:46,Vex'ahlia,Arcana,18,16,,,,With advantage
C1E038,2:53:02,Percy,Investigation,14,7,,,,
C1E038,2:58:30,Keyleth,Nature,19,13,,,,
C1E039,0:12:21,Grog,Initiative,Unknown,Unknown,,,,Disregarded Due to advantage
C1E039,0:12:21,Grog,Initiative,20,18,,,,With advantage
C1E039,0:12:27,Keyleth,Initiative,19,17,,,,
C1E039,0:12:30,Vax'ildan,Initiative,15,10,,,,
C1E039,0:12:38,Percy,Initiative,10,2,,,,
C1E039,0:12:40,Scanlan,Initiative,11,11,,,,
C1E039,0:12:51,Vex'ahlia,Initiative,9,4,,,,
C1E039,0:12:51,Pike,Initiative,Unknown,Unknown,,,,
C1E039,0:13:53,Vex'ahlia,Stealth,Unknown,Unknown,,,,
C1E039,0:15:03,Grog,Attack,18,10,,,,Javelin of Lightning
C1E039,0:15:29,Grog,Damage,19,,,19 Lightning to Purple Worm,,
C1E039,0:16:21,Keyleth,Intelligence,6,4,,,,
C1E039,0:17:51,Vax'ildan,Stealth,28,15,,,,
C1E039,0:18:57,Vax'ildan,Attack,14,3,,,,Dagger
C1E039,0:19:02,Vax'ildan,Attack,Unknown,Unknown,,,,Disregarded due to Luck
C1E039,0:19:02,Vax'ildan,Attack,20,10,,,,Dagger With Luck
C1E039,0:19:13,Vax'ildan,Damage,7,,,7 to Purple Worm,,
C1E039,0:20:55,Vax'ildan,Dexterity Save,Nat20,20,Y,,,Against being swallowed
C1E039,0:24:51,Percy,Attack,21,8,,,,Bad News
C1E039,0:25:00,Percy,Damage,28,,,28 to Purple Worm,,
C1E039,0:25:26,Percy,Attack,14,6,,,,Bad News Sharpshooter
C1E039,0:27:15,Vex'ahlia,Attack,26,15,,,,LBoSS with Hunter's Mark
C1E039,0:27:22,Vex'ahlia,Attack,29,18,,,,LBoSS with Hunter's Mark
C1E039,0:27:26,Vex'ahlia,Attack,20,9,,,,LBoSS with Hunter's Mark
C1E039,0:27:40,Vex'ahlia,Damage,23,,,23 to Purple Worm,,
C1E039,0:27:50,Vex'ahlia,Damage,17,,,17 to Purple Worm,,
C1E039,0:28:04,Vex'ahlia,Damage,27,,,27 to Purple Worm,,
C1E039,0:28:35,Vex'ahlia,Attack,25,14,,,,Arrow through Blazing Bowstring
C1E039,0:28:56,Vex'ahlia,Damage,25,,,25 to Purple Worm,,
C1E039,0:29:16,Vex'ahlia,Stealth,Unknown,Unknown,,,,Disregarded due to advantage
C1E039,0:29:16,Vex'ahlia,Stealth,15,6,,,,With advantage
C1E039,0:30:00,Grog,Attack,23,13,,,,Craven Edge
C1E039,0:30:04,Grog,Attack,20,10,,,,Craven Edge
C1E039,0:30:06,Grog,Attack,26,16,,,,Disregarded due to forgetting GWM
C1E039,0:30:06,Grog,Attack,17,12,,,,Craven Edge GWM
C1E039,0:30:31,Grog,Damage,16,,,16 to Purple Worm,,
C1E039,0:30:36,Grog,Damage,16,,,16 to Purple Worm,,
C1E039,0:32:37,Vax'ildan,Constitution Save,Nat20,20,Y,20 (40/2) Cold to Vax'ildan,,Against Frost Breath
C1E039,0:32:40,Grog,Constitution Save,21,12,,20 (40/2) Cold to Grog,,Against Frost Breath
C1E039,0:40:20,Scanlan,Cutting Words,3,,,,,Against Bite Attack
C1E039,0:40:50,Scanlan,Dexterity Save,5,1,,,,"Scanlan is swallowed, blinded and restrained"
C1E039,0:41:53,Scanlan,Constitution Save,7,5,,,,Disregarded due to advantage
C1E039,0:41:53,Scanlan,Constitution Save,12,10,,,,Concentration with Advantage
C1E039,0:43:45,Scanlan,Damage,22,,,22 Thunder to Purple Worm,,Level 5 Thunderwave
C1E039,0:47:01,Percy,Strength,Nat20,20,Y,,,Disregarded due to disadvantage
C1E039,0:47:01,Percy,Strength,4,3,,,,With disadvantage
C1E039,0:50:10,Vex'ahlia,Dexterity,17,12,,,,
C1E039,0:50:57,Vex'ahlia,Damage,19,,,"19 to Ceiling, 
7 Bludgeoning to Frost Worm",,Conjure Barrage
C1E039,0:51:50,Keyleth,Dexterity Save,2,2,,4 (7/2) to Keyleth,,Due to Conjure Barrage
C1E039,0:51:58,Grog,Dexterity Save,20,18,,,,Due to Conjure Barrage
C1E039,0:52:48,Vex'ahlia,Attack,13,2,,"11 to Ceiling, 
3 Bludgeoning to Frost Worm",,Arrow
C1E039,0:53:28,Vex'ahlia,Stealth,Unknown,Unknown,,,,Disregarded due to advantage
C1E039,0:53:28,Vex'ahlia,Stealth,21,12,,,,With advantage
C1E039,0:55:33,Pike,Damage,32,,,32 Fire to Frost Worm,,Flame Strike
C1E039,0:56:01,Grog,Dexterity Save,18,16,,16 (32/2) Fire to Grog,,Due to Flame Strike
C1E039,0:56:05,Keyleth,Dexterity Save,16,14,,32 Fire to Keyleth,,Due to Flame Strike
C1E039,0:58:06,Vax'ildan,Constitution Save,Unknown,Unknown,,,,Disregarded due to Luck
C1E039,0:58:06,Vax'ildan,Constitution Save,7,7,,36 Cold to Vax'ildan,,"Against Frost Breath, With Luck"
C1E039,1:03:23,Keyleth,Strength,18,16,,,,
C1E039,1:07:34,Scanlan,Constitution Save,18,16,,,,Disregarded due to advantage
C1E039,1:07:34,Scanlan,Constitution Save,19,17,,,,Concentration with advantage
C1E039,1:08:54,Scanlan,Intelligence,16,14,,,,
C1E039,1:12:15,Vex'ahlia,Attack,17,6,,,,Arrow through Blazing Bowstring
C1E039,1:12:47,Vex'ahlia,Attack,Unknown,Unknown,,,,Arrow
C1E039,1:14:30,Pike,Damage,33,,,17 (33/2) Fire to Frost Worm,,Flame Strike
C1E039,1:18:30,Keyleth,Healing,Unknown,,,,,Healing Word on herself
C1E039,1:19:16,Vax'ildan,Attack,17,6,,,,Dagger Sneak Attack
C1E039,1:19:19,Vax'ildan,Attack,21,11,,,,Dagger
C1E039,1:19:22,Vax'ildan,Attack,18,8,,,,Dagger
C1E039,1:19:46,Vax'ildan,Damage,36,,,36 to Frost Worm,,
C1E039,1:19:51,Vax'ildan,Damage,9,,,9 to Frost Worm,,
C1E039,1:19:55,Vax'ildan,Damage,10,,,10 to Frost Worm,,
C1E039,1:22:34,Vax'ildan,Dexterity Save,16,7,,,,"Vax'ildan is swallowed, blinded, and restrained"
C1E039,1:23:46,Percy,Attack,7,7,Y,,,"Bad News Violent Shot, Misfire"
C1E039,1:24:34,Percy,Attack,21,11,,,,Pistol
C1E039,1:24:41,Percy,Attack,30,20,,,1,"Pistol, Purple Worm dies - HDYWTDT"
C1E039,1:24:55,Percy,Damage,27,,,27 to Purple Worm,,
C1E039,1:27:07,Grog,Attack,Unknown,Unknown,,,,Disregarded due to disadvantage
C1E039,1:27:07,Grog,Attack,20,10,,,,"Craven Edge with disadvantage, Vax'ildan is unconscious"
C1E039,1:27:18,Grog,Damage,16,,,16 to Vax'ildan,,
C1E039,1:29:25,Scanlan,Damage,31,,,31 Lightning to Frost Worm,,Call Lightning
C1E039,1:30:08,Scanlan,Healing,6,,,,,"Healing Word on himself, Scanlan heals 6 points"
C1E039,1:30:32,Percy,Attack,17,8,,,,Pistol
C1E039,1:30:37,Percy,Attack,24,15,,,,Pistol
C1E039,1:30:53,Percy,Damage,21,,,21 to Frost Worm,,
C1E039,1:31:49,Vex'ahlia,Attack,29,18,,,,Arrow with Hunter's Mark
C1E039,1:31:51,Vex'ahlia,Attack,27,16,,,,Arrow with Hunter's Mark
C1E039,1:32:01,Vex'ahlia,Damage,20,,,20 to Frost Worm,,
C1E039,1:32:09,Vex'ahlia,Damage,18,,,18 to Frost Worm,,
C1E039,1:34:09,Grog,Attack,Unknown,Unknown,,,,Disregarded due to advantage
C1E039,1:34:09,Grog,Attack,23,18,,,,Craven Edge GWM Reckless Attack (with advantage)
C1E039,1:34:17,Grog,Attack,Unknown,Unknown,,,,Disregarded due to advantage
C1E039,1:34:17,Grog,Attack,24,19,,,,Craven Edge GWM Reckless Attack (with advantage)
C1E039,1:34:29,Grog,Attack,Unknown,Unknown,,,,Disregarded due to advantage
C1E039,1:34:29,Grog,Attack,22,17,,,1,Craven Edge GWM Reckless Attack (with advantage) - Frost Worm dies - HDYWTDT
C1E039,1:34:37,Grog,Damage,30,,,30 to Frost Worm,,
C1E039,1:34:46,Grog,Damage,31,,,31 to Frost Worm,,
C1E039,1:34:52,Grog,Damage,26,,,26 to Frost Worm,,
C1E039,1:38:49,Keyleth,Nature,Unknown,Unknown,,,,Disregarded due to advantage
C1E039,1:38:49,Keyleth,Nature,29,18,,,,With advantage
C1E039,1:59:04,Vax'ildan,Wisdom,20,18,,,,
C1E039,2:07:04,Grog,Deception,12,11,,,,
C1E039,2:18:19,Scanlan,Deception,Unknown,Unknown,,,,Disregarded due to advantage
C1E039,2:18:19,Scanlan,Deception,Nat20,20,Y,,,With advantage
C1E039,2:24:21,Scanlan,Dexterity,10,10,,,,
C1E039,2:35:59,Percy,Tinkering,Unknown,Unknown,,,,Fix Bad News
C1E039,2:35:59,Pike,Healing,23,,,,,"Cure Wounds, Keyleth heals 23"
C1E039,2:36:05,Pike,Healing,21,,,,,"Cure Wounds, Scanlan heals 21"
C1E039,2:36:18,Pike,Healing,13,,,,,"Cure Wounds, Keyleth heals 13"
C1E039,2:42:55,Percy,Persuasion,Unknown,Unknown,,,,Disregarded due to advantage
C1E039,2:42:55,Percy,Persuasion,19,13,,,,With advantage
C1E039,2:45:52,Percy,Deception,13,11,,,,
C1E039,2:49:19,Percy,Persuasion,Nat1,1,Y,,,
C1E039,2:50:11,Scanlan,Attack,10,9,,,,Punch
C1E039,2:50:44,Scanlan,Attack,13,12,,,,Punch
C1E039,2:52:54,Percy,Acrobatics,23,13,,,,
C1E039,3:02:12,Percy,Tinkering,18,12,,,,
C1E039,3:04:07,Grog,Attack,10,2,,,,"Great Sword against Door Lock, Great Sword breaks"
C1E039,3:08:29,Vex'ahlia,Insight,23,15,,,,
C1E039,3:15:18,Vax'ildan,Stealth,27,14,,,,
C1E039,3:15:31,Keyleth,Perception,29,19,,,,
C1E039,3:15:31,Vex'ahlia,Perception,Unknown,Unknown,,,,
C1E039,3:15:31,Percy,Perception,Unknown,Unknown,,,,
C1E039,3:15:31,Scanlan,Perception,Unknown,Unknown,,,,
C1E039,3:30:50,Vex'ahlia,Perception,23,15,,,,
C1E039,3:34:48,Grog,Initiative,20,18,,,,
C1E039,3:35:00,Vax'ildan,Initiative,15,10,,,,
C1E039,3:35:00,Keyleth,Initiative,15,13,,,,
C1E039,3:35:07,Vex'ahlia,Initiative,14,9,,,,
C1E039,3:35:10,Scanlan,Initiative,13,13,,,,
C1E039,3:35:16,Pike,Initiative,Unknown,Unknown,,,,
C1E039,3:35:18,Percy,Initiative,9,1,,,,
C1E039,3:36:12,Grog,Attack,19,14,,,,Craven Edge GWM
C1E039,3:36:22,Grog,Attack,22,17,,,,Craven Edge GWM
C1E039,3:36:30,Grog,Attack,Unknown,Unknown,,,,Craven Edge GWM
C1E039,3:37:20,Grog,Damage,19,,,19 to Raishan,,
C1E039,3:38:20,Grog,Constitution Save,18,9,,33 (66/2) Poison to Grog,,Against Poison Breath
C1E039,3:38:38,Scanlan,Constitution Save,5,3,,66 Poison to Scanlan,,Against Poison Breath
C1E039,3:38:39,Percy,Constitution Save,Unknown,Unknown,,,,Disregarded due to Resolve
C1E039,3:38:39,Percy,Constitution Save,14,8,,66 Poison to Percy,,"With Resolve, Against Poison Breath"
C1E039,3:38:42,Keyleth,Constitution Save,7,5,,66 Poison to Keyleth,,Against Poison Breath
C1E039,3:38:42,Vax'ildan,Constitution Save,20,20,,66 Poison to Vax'ildan,,Against Poison Breath
C1E039,3:38:43,Vex'ahlia,Constitution Save,20,18,,66 Poison to Vex'ahlia,,Against Poison Breath
C1E039,3:38:43,Pike,Constitution Save,Unknown,Unknown,,66 Poison to Pike,,Against Poison Breath
C1E039,3:39:43,Grog,Attack,19,9,,,,Attack of Opportunity
C1E039,3:44:06,Scanlan,Perception,12,12,,,,
C1E039,3:45:55,Pike,Healing,20,,,,,"Mass Cure Wounds; 
Vex, Vax, Percy, Keyleth, Scanlan heal 20 points"
C1E039,3:46:17,Percy,Perception,9,5,,,,
C1E039,3:48:04,Grog,Constitution Save,26,17,,17 ([66/2]]2) Poison to Grog,,Against Poison Breath
C1E040,0:14:55,Pike,Healing,18,,,,,"Mass Cure Wounds: 
Vax, Vex, Grog, Percy, Keyleth, Pike heal 18 points"
C1E040,0:16:57,Vax'ildan,Stealth,29,14,,,,
C1E040,0:22:32,Keyleth,Initiative,22,20,Y,,,
C1E040,0:24:31,Vax'ildan,Initiative,24,19,,,,
C1E040,0:24:32,Percy,Initiative,26,18,,,,
C1E040,0:24:45,Vex'ahlia,Initiative,15,8,,,,
C1E040,0:24:54,Pike,Initiative,3,3,,,,
C1E040,0:24:56,Grog,Initiative,9,7,,,,
C1E040,0:26:40,Percy,Attack,Nat20,20,Y,,,Bad News Wing Shot
C1E040,0:27:53,Percy,Damage,27,,,27 to Vorugal,,
C1E040,0:28:27,Percy,Attack,25,12,,,,"Bad News Wing Shot, Vorugal drops 20 feet"
C1E040,0:28:58,Percy,Damage,20,,,20 to Vorugal,,
C1E040,0:35:27,Vax'ildan,Attack,24,14,,,,Dagger
C1E040,0:35:34,Vax'ildan,Attack,24,14,,,,Dagger
C1E040,0:35:55,Vax'ildan,Damage,32,,,32 to Vorugal,,
C1E040,0:36:02,Vax'ildan,Damage,10,,,10 to Vorugal,,
C1E040,0:38:10,Grog,Constitution Save,25,15,,32 Cold to Grog,,Against Cold Breath Attack
C1E040,0:38:14,Trinket,Constitution Save,15,12,,63 Cold to Trinket,,"Against Cold Breath Attack, Trinket is unconscious"
C1E040,0:40:20,Vex'ahlia,Acrobatics,14,4,,5 Fall to Vex'ahlia,,
C1E040,0:41:29,Vex'ahlia,Attack,25,13,,,,Long Bow of Sky Sentinel
C1E040,0:41:33,Vex'ahlia,Attack,24,12,,,,Long Bow of Sky Sentinel
C1E040,0:41:38,Vex'ahlia,Attack,16,4,,,,Long Bow of Sky Sentinel
C1E040,0:42:05,Vex'ahlia,Damage,22,,,22 (15 Lightning+7 HM) to Vorugal,,
C1E040,0:42:11,Vex'ahlia,Damage,19,,,19 (15 Lightning+4 HM) to Vorugal,,
C1E040,0:42:27,Vex'ahlia,Attack,Unknown,Unknown,,,,Arrow through Blazing Bowstring
C1E040,0:45:43,Grog,Strength,18,15,,,,
C1E040,0:47:24,Scanlan,Damage,36,,,17 (36/2) Fire to Vorugal,,Wand of Fireballs
C1E040,0:47:47,Pike,Healing,30,,,,,"Cure Wounds on Trinket, Trinket heals 30 points"
C1E040,0:51:00,Percy,Acrobatics,29,19,,,,
C1E040,0:53:23,Percy,Attack,Unknown,Unknown,,,,Disregarded due to advantage
C1E040,0:53:23,Percy,Attack,25,16,,,,Bad News Dead Eye Shot against Vorugal with advantage
C1E040,0:53:35,Percy,Damage,21,,,21 (17+4 Necrotic) to Vorugal,,
C1E040,0:56:07,Vax'ildan,Stealth,Unknown,Unknown,,,,Disregarded due to Luck
C1E040,0:56:07,Vax'ildan,Stealth,31,16,,,,With Luck
C1E040,0:58:30,Keyleth,Attack,21,16,,,,Talon Attack as Giant Eagle (via Conjure Woodland Beings spell)
C1E040,0:58:49,Keyleth,Damage,14,,,14 to Vorugal,,
C1E040,1:00:24,Keyleth,Wisdom Save,23,9,,,,From Frightful Presence
C1E040,1:00:27,Vax'ildan,Wisdom Save,18,16,,,,"From Frightful Presence, Disregarded due to Luck"
C1E040,1:00:29,Grog,Wisdom Save,18,18,,,,From Frightful Presence
C1E040,1:00:30,Percy,Wisdom Save,7,4,,,,"From Frightful Presence, disregarded due to Resolve"
C1E040,1:00:32,Vex'ahlia,Wisdom Save,8,5,,,,"From Frightful Presence, Vex'ahlia is Frightened"
C1E040,1:00:34,Scanlan,Wisdom Save,19,19,,,,From Frightful Presence
C1E040,1:00:36,Trinket,Wisdom Save,19,18,,,,From Frightful Presence
C1E040,1:00:44,Percy,Wisdom Save,10,7,,,,"From Frightful Presence with Resolve, Percy is Frightened"
C1E040,1:01:10,Vax'ildan,Wisdom Save,<19,Unknown,,,,"From Frightful Presence with Luck, Vax'ildan is Frightened"
C1E040,1:04:37,Vex'ahlia,Stealth,Unknown,Unknown,,,,Disregarded due to advantage
C1E040,1:04:37,Vex'ahlia,Stealth,23,13,,,,With advantage
C1E040,1:05:26,Vex'ahlia,Attack,Unknown,Unknown,,,,Disregarded due to disadvantage
C1E040,1:05:26,Vex'ahlia,Attack,26,14,,,,Arrow with Sneak Attack with disadvantage
C1E040,1:05:46,Vex'ahlia,Damage,23,,,23 to Vorugal,,
C1E040,1:06:06,Vex'ahlia,Attack,Unknown,Unknown,,,,Disregarded due to disadvantage
C1E040,1:06:06,Vex'ahlia,Attack,17,5,,,,Arrow with disadvantage
C1E040,1:07:20,Vex'ahlia,Wisdom Save,19,7,,,,"From Frightful Presence, Vex'ahlia is no longer Frightened"
C1E040,1:08:16,Pike,Dexterity Save,Nat20,20,Y,,,From Wing Attack
C1E040,1:08:20,Grog,Dexterity Save,Unknown,Unknown,,,,From Wing Attack
C1E040,1:09:38,Grog,Attack,22,12,,,,Attack of Opportunity
C1E040,1:09:50,Grog,Damage,19,,,19 to Vorugal,,
C1E040,1:12:43,Scanlan,Damage,29,,,15 (29/2) to Vorugal,,Wand of Fireballs
C1E040,1:34:23,Grog,Investigation,13,15,,,,
C1E040,1:36:56,Grog,Perception,19,19,,,,
C1E040,1:37:03,Vex'ahlia,Sleight of Hand,15,10,,,,
C1E040,1:37:56,Vex'ahlia,Stealth,Unknown,Unknown,,,,Disregarded due to advantage
C1E040,1:38:01,Vex'ahlia,Stealth,24,14,,,,With advantage
C1E040,2:00:22,Vex'ahlia,Insight,27,19,,,,
C1E040,2:00:32,Vex'ahlia,Insight,23,15,,,,
C1E040,2:05:41,Grog,Strength,17,14,,,,
C1E040,2:05:44,Pike,Strength,8,7,,,,
C1E040,2:07:37,Vex'ahlia,Insight,22,14,,,,
C1E040,2:08:40,Grog,Initiative,14,12,,,,
C1E040,2:08:45,Percy,Initiative,28,20,,,,
C1E040,2:08:58,Vex'ahlia,Initiative,Unknown,Unknown,,,,Disregarded due to disadvantage
C1E040,2:08:58,Vex'ahlia,Initiative,13,6,,,,With disadvantage
C1E040,2:10:34,Percy,Strength,15,14,,,,
C1E040,2:10:37,Vex'ahlia,Strength,9,11,,,,
C1E040,2:11:56,Grog,Athletics,19,11,,,,
C1E040,2:11:59,Percy,Acrobatics,14,4,,,,
C1E040,2:12:10,Percy,Strength Save,21,16,,,,
C1E040,2:14:57,Pike,Insight,21,17,,,,
C1E040,2:17:55,Grog,Strength,21,18,,,,
C1E040,2:19:00,Vex'ahlia,Strength,14,16,,,,
C1E040,2:19:04,Grog,Strength,Nat1,1,Y,,,
C1E040,2:20:06,Vex'ahlia,Acrobatics,23,13,,,,
C1E040,2:21:47,Grog,Wisdom Save,Nat20,20,Y,,,Against Hold Person
C1E040,2:21:53,Percy,Wisdom Save,15,12,,,,"Against Hold Person, Percy is Held"
C1E040,2:21:57,Vex'ahlia,Wisdom Save,21,18,,,,Against Hold Person
C1E041,0:29:42,Keyleth,Persuasion,8,3,,,,
C1E041,0:31:38,Vex'ahlia,Sleight of Hand,24,19,,,,
C1E041,0:45:12,Vax'ildan,Stealth,25,10,,,,
C1E041,0:46:41,Vax'ildan,Thieves' Tools,30,15,,,,
C1E041,0:51:55,Percy,Stealth,29,13,,,,With Pass Without a Trace
C1E041,0:51:56,Keyleth,Stealth,19,12,,,,With Pass Without a Trace
C1E041,0:51:58,Scanlan,Stealth,25,13,,,,With Pass Without a Trace
C1E041,0:51:59,Vex'ahlia,Stealth,Unknown,Unknown,,,,Disregarded due to advantage
C1E041,0:51:59,Vex'ahlia,Stealth,33,13,,,,With Pass Without a Trace with advantage
C1E041,0:52:00,Grog,Stealth,23,11,,,,With Pass Without a Trace
C1E041,0:52:01,Vax'ildan,Stealth,35,10,,,,With Pass Without a Trace
C1E041,0:52:28,Pike,Stealth,Unknown,Unknown,,,,Disregarded due to disadvantage
C1E041,0:52:28,Pike,Stealth,14,4,,,,With Pass Without a Trace with disadvantage
C1E041,1:04:47,Garthok,Stealth,25,8,,,,
C1E041,1:12:32,Vex'ahlia,Persuasion,10,2,,,,
C1E041,1:13:20,Vex'ahlia,Initiative,27,20,Y,,,
C1E041,1:15:53,Percy,Initiative,25,17,,,,
C1E041,1:16:02,Keyleth,Initiative,17,15,,,,
C1E041,1:16:07,Garthok,Initiative,14,11,,,,
C1E041,1:16:08,Scanlan,Initiative,12,12,,,,
C1E041,1:16:09,Grog,Initiative,14,12,,,,
C1E041,1:16:09,Vax'ildan,Initiative,12,7,,,,
C1E041,1:16:56,Vex'ahlia,Damage,17,,,"23 (17+6 HM) to L1, 
9 (17/2) to L2 and L4, 17 to L5",,Conjure Barrage
C1E041,1:20:22,Percy,Attack,14,10,,,,Pistol with Sharpshooter and Hex
C1E041,1:20:31,Percy,Attack,>20,Unknown,,,,Pistol with Sharpshooter and Hex
C1E041,1:20:35,Percy,Attack,18,13,,,1,Pistol with Sharpshooter and Hex
C1E041,1:20:50,Percy,Damage,27,,,27 (26+1 Necrotic) to L1,,
C1E041,1:21:03,Percy,Damage,23,,,23 (17+6 Necrotic) to L1,,
C1E041,1:21:14,Percy,Damage,31,,,31 (25+6 Necrotic) to L1,,
C1E041,1:26:55,Keyleth,Damage,25,,,"25 Lightning to L6, 25 Lightning to Keyleth",,Call Lightning
C1E041,1:30:34,Garthok,Attack,15,7,,,,Stiletto Spear Sneak Attack
C1E041,1:31:09,Garthok,Damage,28,,,28 to L7,,
C1E041,1:32:51,Grog,Attack,Unknown,Unknown,,,,Disregarded due to advantage
C1E041,1:32:51,Grog,Attack,19,14,,,,Craven Edge GWM Reckless Attack (with advantage)
C1E041,1:32:58,Grog,Attack,Unknown,Unknown,,,,Disregarded due to advantage
C1E041,1:32:58,Grog,Attack,11,6,,,1,"Craven Edge Great Weapon Master Reckless Attack (with advantage), Grog gains +1 Strength"
C1E041,1:33:09,Grog,Damage,22,,,22 to L5,,
C1E041,1:33:17,Grog,Damage,19,,,19 to L5,,
C1E041,1:35:51,Vax'ildan,Attack,23,13,,,,Dagger of Life-Stealing
C1E041,1:36:01,Vax'ildan,Damage,10,,,10 to L2,,
C1E041,1:36:20,Vax'ildan,Attack,Unknown,Unknown,,,,Disregarded
C1E041,1:36:20,Vax'ildan,Attack,24,14,,,,Disregarded
C1E041,1:37:44,Pike,Attack,14,6,,,,Guiding Bolt
C1E041,1:38:06,Pike,Damage,21,,,21 Radiant to L9,,
C1E041,1:39:12,Pike,Intimidation,11,9,,,,
C1E041,1:40:35,Vex'ahlia,Attack,22,10,,,,Arrow
C1E041,1:41:00,Vex'ahlia,Damage,9,,,9 to L8,,
C1E041,1:41:13,Vex'ahlia,Damage,10,,,"10 to L7, 10 to L9, 10 to L2",,Hail of Thorns Damage
C1E041,1:42:12,Trinket,Attack,14,10,,,1,Bestial Fury Claw Attack
C1E041,1:42:28,Trinket,Damage,24,,,24 (11+13) to L7,,
C1E041,1:44:06,Percy,Attack,10,5,,,,Disregarded due to advantage
C1E041,1:44:06,Percy,Attack,10,5,,,,Pistol with Sharpshooter and Hex with advantage
C1E041,1:44:43,Percy,Attack,Unknown,Unknown,,,,Disregarded due to advantage
C1E041,1:44:43,Percy,Attack,18,13,,,1,"Pistol with Sharp Shooter, Hex and 
War God's Blessing with advantage"
C1E041,1:45:44,Percy,Damage,25,,,25 (20+5 Necrotic) to L9,,
